experiment,config,trial,weight,idx,ttft_ms,total_ms,status_code,completion_tokens,itl_ms,error
exp3,DISAGG-2D,4,light,1,1452.05,1658.4,200,20,10.86,
exp3,DISAGG-2D,4,light,2,1414.03,1607.46,200,20,10.18,
exp3,DISAGG-2D,4,light,3,1451.83,1660.76,200,20,10.99,
exp3,DISAGG-2D,4,light,4,1459.37,1653.1,200,20,10.19,
exp3,DISAGG-2D,4,light,5,1461.53,1667.0,200,20,10.81,
exp3,DISAGG-2D,5,heavy,0,1797.76,2299.89,200,50,10.25,
exp3,DISAGG-2D,5,light,1,1834.98,2039.43,200,20,10.76,
exp3,DISAGG-2D,5,light,2,1773.23,2000.95,200,20,11.98,
exp3,DISAGG-2D,5,light,3,1845.32,1889.03,200,4,10.92,
exp3,DISAGG-2D,5,light,4,1839.03,2056.72,200,20,11.46,
exp3,DISAGG-2D,5,light,5,1833.08,1995.01,200,15,10.79,
exp3,DISAGG-2D,6,heavy,0,1920.94,2448.15,200,50,10.76,
exp3,DISAGG-2D,6,light,1,1894.73,2045.76,200,12,12.71,
exp3,DISAGG-2D,6,light,2,1863.99,2101.84,200,20,12.52,
exp3,DISAGG-2D,6,light,3,1958.09,2011.11,200,4,13.21,
exp3,DISAGG-2D,6,light,4,1922.28,2148.05,200,20,11.88,
exp3,DISAGG-2D,6,light,5,1957.06,2175.4,200,20,11.49,
exp3,DISAGG-2D,7,heavy,0,1564.7,2072.48,200,50,10.36,
exp3,DISAGG-2D,7,light,1,1658.4,1861.94,200,20,10.71,
exp3,DISAGG-2D,7,light,2,1532.81,1750.05,200,20,11.43,
exp3,DISAGG-2D,7,light,3,1553.59,1744.1,200,20,10.03,
exp3,DISAGG-2D,7,light,4,1660.89,1854.84,200,20,10.21,
exp3,DISAGG-2D,7,light,5,1646.39,1850.27,200,20,10.73,
exp3,DISAGG-2D,8,heavy,0,1874.5,2397.61,200,50,10.67,
exp3,DISAGG-2D,8,light,1,1892.62,2117.33,200,20,11.83,
exp3,DISAGG-2D,8,light,2,1835.62,2057.26,200,20,11.66,
exp3,DISAGG-2D,8,light,3,1892.3,2119.31,200,20,11.95,
exp3,DISAGG-2D,8,light,4,1917.28,2122.87,200,20,10.82,
exp3,DISAGG-2D,8,light,5,1891.33,2118.29,200,20,11.94,
exp3,DISAGG-2D,9,heavy,0,1863.45,2374.84,200,50,10.44,
exp3,DISAGG-2D,9,light,1,1893.21,2104.96,200,20,11.14,
exp3,DISAGG-2D,9,light,2,1841.93,2064.68,200,20,11.72,
exp3,DISAGG-2D,9,light,3,1862.86,2071.28,200,20,10.97,
exp3,DISAGG-2D,9,light,4,1912.14,2119.98,200,20,10.94,
exp3,DISAGG-2D,9,light,5,1891.6,2105.76,200,20,11.27,
exp3,DISAGG-2D,10,heavy,0,2039.37,2578.42,200,50,11.0,
exp3,DISAGG-2D,10,light,1,2103.62,2326.89,200,20,11.75,
exp3,DISAGG-2D,10,light,2,1964.78,2202.68,200,20,12.52,
exp3,DISAGG-2D,10,light,3,2038.49,2269.59,200,20,12.16,
exp3,DISAGG-2D,10,light,4,2023.02,2254.99,200,20,12.21,
exp3,DISAGG-2D,10,light,5,2037.16,2268.45,200,20,12.17,
