experiment,config,run,prompt_tokens_target,max_tokens,ttft_ms,total_ms,status_code,prompt_tokens_actual,completion_tokens,error
exp1,DISAGG-D1,5,50,20,265.28,265.3,200,61,20,
exp1,DISAGG-D1,6,50,20,265.08,265.11,200,61,20,
exp1,DISAGG-D1,7,50,20,262.0,262.02,200,61,20,
exp1,DISAGG-D1,8,50,20,263.13,263.17,200,61,20,
exp1,DISAGG-D1,9,50,20,265.08,265.11,200,61,20,
exp1,DISAGG-D1,10,50,20,262.91,262.93,200,61,20,
exp1,DISAGG-D1,11,50,20,77.67,77.7,200,61,1,
exp1,DISAGG-D1,12,50,20,262.95,262.98,200,61,20,
exp1,DISAGG-D1,13,50,20,263.36,263.39,200,61,20,
exp1,DISAGG-D1,14,50,20,263.62,263.65,200,61,20,
exp1,DISAGG-D1,15,50,20,262.69,262.71,200,61,20,
exp1,DISAGG-D1,16,50,20,264.17,264.19,200,61,20,
exp1,DISAGG-D1,17,50,20,262.89,262.92,200,61,20,
exp1,DISAGG-D1,18,50,20,263.76,263.78,200,61,20,
exp1,DISAGG-D1,19,50,20,262.71,262.73,200,61,20,
exp1,DISAGG-D1,20,50,20,264.71,264.73,200,61,20,
exp1,DISAGG-D2,1,50,20,259.69,259.71,200,61,20,
exp1,DISAGG-D2,2,50,20,257.33,257.35,200,61,20,
exp1,DISAGG-D2,3,50,20,257.88,257.9,200,61,20,
exp1,DISAGG-D2,4,50,20,257.42,257.45,200,61,20,
exp1,DISAGG-D2,5,50,20,260.25,260.28,200,61,20,
exp1,DISAGG-D2,6,50,20,268.83,268.86,200,61,20,
exp1,DISAGG-D2,7,50,20,258.99,259.02,200,61,20,
exp1,DISAGG-D2,8,50,20,260.56,260.59,200,61,20,
exp1,DISAGG-D2,9,50,20,260.11,260.15,200,61,20,
exp1,DISAGG-D2,10,50,20,260.07,260.1,200,61,20,
exp1,DISAGG-D2,11,50,20,260.09,260.11,200,61,20,
exp1,DISAGG-D2,12,50,20,259.75,259.77,200,61,20,
exp1,DISAGG-D2,13,50,20,261.35,261.38,200,61,20,
exp1,DISAGG-D2,14,50,20,260.66,260.69,200,61,20,
exp1,DISAGG-D2,15,50,20,259.68,259.71,200,61,20,
exp1,DISAGG-D2,16,50,20,259.35,259.37,200,61,20,
exp1,DISAGG-D2,17,50,20,261.14,261.17,200,61,20,
exp1,DISAGG-D2,18,50,20,261.94,261.96,200,61,20,
exp1,DISAGG-D2,19,50,20,258.66,258.69,200,61,20,
exp1,DISAGG-D2,20,50,20,258.74,258.77,200,61,20,
exp1,BASELINE,1,100,20,206.56,206.64,200,121,20,
exp1,BASELINE,2,100,20,206.31,206.34,200,121,20,
exp1,BASELINE,3,100,20,206.95,206.98,200,121,20,
exp1,BASELINE,4,100,20,208.44,208.48,200,121,20,
exp1,BASELINE,5,100,20,206.85,206.89,200,121,20,
exp1,BASELINE,6,100,20,207.7,207.74,200,121,20,
exp1,BASELINE,7,100,20,208.16,208.19,200,121,20,
exp1,BASELINE,8,100,20,30.01,30.04,200,121,2,
exp1,BASELINE,9,100,20,209.34,209.37,200,121,20,
exp1,BASELINE,10,100,20,207.56,207.59,200,121,20,
exp1,BASELINE,11,100,20,207.73,207.76,200,121,20,
exp1,BASELINE,12,100,20,207.91,207.96,200,121,20,
exp1,BASELINE,13,100,20,207.98,208.01,200,121,20,
exp1,BASELINE,14,100,20,207.92,207.95,200,121,20,
exp1,BASELINE,15,100,20,207.35,207.38,200,121,20,
exp1,BASELINE,16,100,20,209.65,209.68,200,121,20,
exp1,BASELINE,17,100,20,207.86,207.88,200,121,20,
exp1,BASELINE,18,100,20,207.73,207.76,200,121,20,
exp1,BASELINE,19,100,20,209.35,209.38,200,121,20,
exp1,BASELINE,20,100,20,208.3,208.32,200,121,20,
exp1,DISAGG-D1,1,100,20,262.02,262.05,200,121,20,
exp1,DISAGG-D1,2,100,20,264.74,264.77,200,121,20,
exp1,DISAGG-D1,3,100,20,262.9,262.93,200,121,20,
exp1,DISAGG-D1,4,100,20,261.29,261.31,200,121,20,
