experiment,config,run,concurrency,ttft_ms,total_ms,status_code,target,error
exp2,DISAGG-1D,14,2,448.7,448.73,200,d1,
exp2,DISAGG-1D,15,2,466.67,466.69,200,d1,
exp2,DISAGG-1D,16,2,514.06,514.1,200,d1,
exp2,DISAGG-1D,17,2,432.3,432.33,200,d1,
exp2,DISAGG-1D,18,2,480.42,480.47,200,d1,
exp2,DISAGG-1D,19,2,443.48,443.52,200,d1,
exp2,DISAGG-1D,20,2,491.6,491.65,200,d1,
exp2,DISAGG-2D,1,2,473.63,473.69,200,d1,
exp2,DISAGG-2D,2,2,164.91,164.94,200,d2,
exp2,DISAGG-2D,3,2,483.1,483.14,200,d1,
exp2,DISAGG-2D,4,2,465.09,465.11,200,d2,
exp2,DISAGG-2D,5,2,431.08,431.11,200,d1,
exp2,DISAGG-2D,6,2,406.09,406.11,200,d2,
exp2,DISAGG-2D,7,2,417.75,417.79,200,d1,
exp2,DISAGG-2D,8,2,374.68,374.71,200,d2,
exp2,DISAGG-2D,9,2,565.55,565.6,200,d1,
exp2,DISAGG-2D,10,2,516.14,516.17,200,d2,
exp2,DISAGG-2D,11,2,517.04,517.1,200,d1,
exp2,DISAGG-2D,12,2,468.89,468.91,200,d2,
exp2,DISAGG-2D,13,2,162.52,162.54,200,d1,
exp2,DISAGG-2D,14,2,453.68,453.72,200,d2,
exp2,DISAGG-2D,15,2,418.85,418.9,200,d1,
exp2,DISAGG-2D,16,2,386.71,386.74,200,d2,
exp2,DISAGG-2D,17,2,498.76,498.8,200,d1,
exp2,DISAGG-2D,18,2,474.88,474.9,200,d2,
exp2,DISAGG-2D,19,2,399.57,399.61,200,d1,
exp2,DISAGG-2D,20,2,383.74,383.77,200,d2,
exp2,BASELINE,1,4,332.58,332.61,200,d1,
exp2,BASELINE,2,4,344.01,344.03,200,d1,
exp2,BASELINE,3,4,343.79,343.84,200,d1,
exp2,BASELINE,4,4,342.88,342.9,200,d1,
exp2,BASELINE,5,4,331.99,332.02,200,d1,
exp2,BASELINE,6,4,343.37,343.39,200,d1,
exp2,BASELINE,7,4,342.76,342.78,200,d1,
exp2,BASELINE,8,4,342.9,342.94,200,d1,
exp2,BASELINE,9,4,331.57,331.6,200,d1,
exp2,BASELINE,10,4,342.28,342.33,200,d1,
exp2,BASELINE,11,4,341.61,341.63,200,d1,
exp2,BASELINE,12,4,213.65,213.68,200,d1,
exp2,BASELINE,13,4,332.49,332.52,200,d1,
exp2,BASELINE,14,4,343.63,343.65,200,d1,
exp2,BASELINE,15,4,343.49,343.52,200,d1,
exp2,BASELINE,16,4,343.35,343.4,200,d1,
exp2,BASELINE,17,4,331.48,331.51,200,d1,
exp2,BASELINE,18,4,342.53,342.55,200,d1,
exp2,BASELINE,19,4,342.39,342.4,200,d1,
exp2,BASELINE,20,4,342.35,342.4,200,d1,
exp2,DISAGG-1D,1,4,1300.15,1300.17,200,d1,
exp2,DISAGG-1D,2,4,1245.54,1245.57,200,d1,
exp2,DISAGG-1D,3,4,1302.47,1302.5,200,d1,
exp2,DISAGG-1D,4,4,1299.42,1299.45,200,d1,
exp2,DISAGG-1D,5,4,1161.0,1161.02,200,d1,
exp2,DISAGG-1D,6,4,1106.88,1106.91,200,d1,
exp2,DISAGG-1D,7,4,1179.38,1179.42,200,d1,
exp2,DISAGG-1D,8,4,1160.55,1160.57,200,d1,
exp2,DISAGG-1D,9,4,1204.24,1204.28,200,d1,
exp2,DISAGG-1D,10,4,1181.86,1181.89,200,d1,
exp2,DISAGG-1D,11,4,1203.39,1203.42,200,d1,
exp2,DISAGG-1D,12,4,1149.1,1149.13,200,d1,
exp2,DISAGG-1D,13,4,842.05,842.08,200,d1,
exp2,DISAGG-1D,14,4,968.74,968.8,200,d1,
exp2,DISAGG-1D,15,4,959.04,959.06,200,d1,
exp2,DISAGG-1D,16,4,894.93,894.96,200,d1,
exp2,DISAGG-1D,17,4,1214.75,1214.77,200,d1,
exp2,DISAGG-1D,18,4,1160.29,1160.31,200,d1,
exp2,DISAGG-1D,19,4,1232.97,1233.01,200,d1,
exp2,DISAGG-1D,20,4,1214.11,1214.13,200,d1,
exp2,DISAGG-2D,1,4,1138.63,1138.65,200,d1,
exp2,DISAGG-2D,2,4,1142.56,1142.58,200,d2,
exp2,DISAGG-2D,3,4,1186.42,1186.44,200,d1,
exp2,DISAGG-2D,4,4,1247.95,1248.01,200,d2,
exp2,DISAGG-2D,5,4,1079.34,1079.36,200,d1,
exp2,DISAGG-2D,6,4,1132.48,1132.52,200,d2,
exp2,DISAGG-2D,7,4,1127.08,1127.1,200,d1,
exp2,DISAGG-2D,8,4,1084.77,1084.79,200,d2,
exp2,DISAGG-2D,9,4,1160.22,1160.24,200,d1,
exp2,DISAGG-2D,10,4,1176.69,1176.73,200,d2,
exp2,DISAGG-2D,11,4,1159.33,1159.35,200,d1,
exp2,DISAGG-2D,12,4,1138.64,1138.66,200,d2,
exp2,DISAGG-2D,13,4,1264.92,1264.94,200,d1,
exp2,DISAGG-2D,14,4,1261.41,1261.43,200,d2,
exp2,DISAGG-2D,15,4,1263.96,1263.98,200,d1,
exp2,DISAGG-2D,16,4,1308.1,1308.15,200,d2,
exp2,DISAGG-2D,17,4,1143.73,1143.76,200,d1,
exp2,DISAGG-2D,18,4,1198.13,1198.18,200,d2,
exp2,DISAGG-2D,19,4,1191.34,1191.36,200,d1,
exp2,DISAGG-2D,20,4,1150.12,1150.14,200,d2,
exp2,BASELINE,1,8,224.1,224.13,200,d1,
exp2,BASELINE,2,8,342.28,342.3,200,d1,
exp2,BASELINE,3,8,355.31,355.33,200,d1,
exp2,BASELINE,4,8,354.68,354.71,200,d1,
exp2,BASELINE,5,8,353.92,353.94,200,d1,
exp2,BASELINE,6,8,354.51,354.56,200,d1,
exp2,BASELINE,7,8,354.37,354.41,200,d1,
exp2,BASELINE,8,8,353.31,353.33,200,d1,
exp2,BASELINE,9,8,340.94,340.96,200,d1,
exp2,BASELINE,10,8,167.65,167.68,200,d1,
