experiment,config,seq,workload_class,prompt_tokens_target,max_tokens,ttft_ms,total_ms,itl_mean_ms,itl_p99_ms,status_code,completion_tokens,scheduled_at_s,depart_delay_ms,error
exp7,DISAGG-2D,216,short,10,20,79.71,300.65,11.63,11.85,200,20,56.479,0.07,
exp7,DISAGG-2D,217,short,10,20,77.08,267.87,10.04,11.11,200,20,56.681,0.06,
exp7,DISAGG-2D,220,long,500,50,121.0,121.0,0.0,0.0,200,0,57.128,0.06,
exp7,DISAGG-2D,218,short,10,20,76.64,262.47,9.78,12.3,200,20,56.998,0.06,
exp7,DISAGG-2D,219,short,10,20,79.02,273.68,10.24,11.22,200,20,57.04,0.07,
exp7,DISAGG-2D,221,short,10,20,77.22,267.53,10.01,11.32,200,20,57.994,0.06,
exp7,DISAGG-2D,222,short,10,20,76.99,258.78,9.57,10.19,200,20,58.211,0.07,
exp7,DISAGG-2D,223,short,10,20,76.65,265.65,9.95,10.86,200,20,58.406,0.06,
exp7,DISAGG-2D,224,short,10,20,79.22,267.68,9.92,15.82,200,20,58.751,0.06,
exp7,DISAGG-2D,226,short,10,20,79.57,261.55,9.58,10.11,200,20,58.985,0.06,
exp7,DISAGG-2D,225,long,500,50,85.45,592.81,10.35,15.7,200,50,58.765,0.06,
exp7,DISAGG-2D,227,short,10,20,120.02,315.87,10.31,11.73,200,20,59.159,0.06,
exp7,DISAGG-2D,228,short,10,20,76.64,258.75,9.55,9.92,200,19,59.638,0.05,
exp7,DISAGG-2D,229,short,10,20,81.19,250.1,9.87,10.73,200,17,59.681,0.06,
